date,v0,v1,v2,v3,v4,v5,v6,v7
2018-05-03,-10078.991,-4807.188,-4540.5586,3854.8186,-306.16745,12627.141,1749.5266,-8590.4375
2018-05-04,-11527.576,-5495.8076,-5187.2847,4412.826,-346.72507,14438.362,1997.8328,-9828.755
2018-05-05,-12486.4375,-5920.5586,-5585.652,4785.6846,-350.0504,15607.825,2146.2642,-10659.123
2018-05-06,-7060.5815,-3413.5093,-3225.9583,2687.3772,-250.7861,8890.727,1248.5177,-6000.2764
2018-05-07,-6618.7534,-3173.4966,-2997.6213,2527.7659,-213.91367,8308.171,1157.0535,-5635.337
2018-05-08,-9645.95,-4601.049,-4346.0303,3690.5908,-293.1664,12084.796,1674.9714,-8221.262
2018-05-09,-10860.154,-5181.7104,-4893.478,4154.7056,-330.90225,13607.227,1885.7551,-9256.286
2018-05-10,-12015.569,-5735.65,-5414.2324,4596.8047,-367.2885,15056.83,2086.0505,-10241.805
2018-05-11,-11208.266,-5309.015,-5009.826,4297.3027,-310.32318,14005.049,1924.8016,-9569.188
2018-05-12,-13187.612,-6269.248,-5913.623,5051.1245,-381.8095,16499.627,2273.9297,-11252.738
2018-05-13,-12391.503,-5939.867,-5607.096,4735.597,-397.77527,15551.707,2163.412,-10553.62
2018-05-14,-8450.559,-4054.863,-3828.5693,3227.6953,-274.8222,10609.982,1477.8057,-7195.0737
2018-05-15,-10090.302,-4847.2236,-4576.123,3847.3914,-333.0015,12674.825,1765.7596,-8589.033
2018-05-16,-11061.893,-5302.3193,-5005.8687,4226.0645,-355.3428,13883.1875,1931.3435,-9420.712
2018-05-17,-9526.51,-4576.2905,-4323.5073,3635.218,-314.94278,11966.788,1669.9171,-8107.3647
2018-05-18,-9961.556,-4759.1025,-4494.785,3809.6536,-308.36237,12487.319,1732.9996,-8487.994
2018-05-19,-12345.623,-5853.6934,-5516.9224,4732.8276,-344.05237,15430.288,2118.0798,-10542.856
2018-05-20,-12574.147,-6003.7495,-5667.238,4808.6123,-385.6877,15758.438,2183.374,-10717.284
2018-05-21,-7117.005,-3393.7322,-3211.9812,2718.433,-218.24884,8917.64,1239.0652,-6061.3877
2018-05-22,-9546.0625,-4583.221,-4330.468,3643.0532,-313.8535,11989.096,1672.4257,-8124.5664
2018-05-23,-9397.163,-4495.0415,-4246.471,3590.9675,-295.75735,11785.694,1637.985,-8004.2363
2018-05-24,-9230.424,-4406.5996,-4163.6465,3527.3176,-284.3333,11568.677,1604.8995,-7864.536
2018-05-25,-10628.787,-5074.8496,-4787.006,4065.5642,-324.75385,13319.484,1843.2332,-9061.596
2018-05-26,-12018.728,-5709.251,-5388.404,4602.989,-345.81662,15033.918,2072.2405,-10254.682
2018-05-27,-11050.011,-5271.7075,-4976.97,4227.043,-335.8109,13844.28,1917.2535,-9419.265
2018-05-28,-7692.727,-3687.0952,-3481.3865,2939.35,-246.99023,9654.495,1343.3665,-6551.254
2018-05-29,-11828.532,-5649.733,-5336.8047,4522.369,-365.6482,14826.855,2057.4827,-10078.498
2018-05-30,-9398.949,-4492.159,-4245.0737,3592.1365,-293.4182,11784.686,1637.4,-8006.1313
2018-05-31,-9487.647,-4535.3096,-4284.304,3627.0066,-296.10663,11896.103,1652.3036,-8082.592
2018-06-01,-12184.435,-5811.9165,-5482.8604,4660.5396,-368.29092,15263.815,2110.445,-10389.293
2018-06-02,-13398.2,-6322.713,-5952.496,5135.5146,-349.28644,16716.709,2277.9973,-11455.606
2018-06-03,-11056.696,-5286.39,-4986.2593,4225.206,-343.63846,13863.013,1920.2369,-9423.809
2018-06-04,-6167.923,-2974.2036,-2808.1228,2351.827,-211.90974,7758.236,1085.4584,-5246.448
2018-06-05,-9366.301,-4484.9346,-4235.812,3579.175,-297.8584,11751.06,1634.2377,-7977.192
2018-06-06,-9364.017,-4489.34,-4240.984,3574.9944,-302.63873,11754.053,1636.8281,-7972.4087
2018-06-07,-9838.987,-4695.696,-4436.4136,3761.084,-301.72522,12329.791,1709.9077,-8383.91
2018-06-08,-10048.493,-4804.2314,-4536.0376,3842.3079,-313.34607,12599.427,1748.8928,-8561.759
2018-06-09,-12548.533,-5974.4844,-5638.564,4801.939,-371.56427,15709.8125,2169.8145,-10702.009
2018-06-10,-10886.594,-5212.319,-4921.568,4159.154,-345.51733,13657.774,1898.1008,-9272.905
2018-06-11,-7007.8555,-3363.99,-3178.7495,2674.3562,-230.05768,8800.822,1227.6238,-5964.3257
2018-06-12,-12271.484,-5881.3423,-5551.9976,4686.736,-393.6666,15400.676,2141.4607,-10451.273
2018-06-13,-11001.292,-5253.729,-4960.1475,4208.251,-338.2825,13788.179,1911.648,-9375.916
2018-06-14,-12169.68,-5808.109,-5480.9253,4655.9595,-370.60562,15248.511,2111.0103,-10374.6875
2018-06-15,-11601.439,-5533.5537,-5223.366,4437.988,-351.40387,14533.831,2011.6913,-9890.251
2018-06-16,-10637.001,-5043.3125,-4762.883,4075.2607,-299.76083,13297.101,1831.4563,-9077.007
2018-06-17,-11031.394,-5269.7114,-4974.777,4216.693,-340.68402,13827.792,1916.7844,-9401.003
2018-06-18,-9441.499,-4558.0396,-4300.468,3600.8904,-327.18085,11879.96,1662.2701,-8031.3887
2018-06-19,-8504.137,-4060.75,-3839.046,3249.9382,-263.28882,10659.677,1480.7158,-7243.9985
2018-06-20,-11867.365,-5672.8584,-5353.9243,4538.2944,-368.54358,14878.555,2063.385,-10113.403
2018-06-21,-10250.17,-4911.691,-4639.584,3915.2998,-329.03186,12863.66,1790.5203,-8728.164
2018-06-22,-10325.209,-4924.6763,-4648.569,3947.0425,-313.01022,12935.313,1789.7386,-8802.028
2018-06-23,-10143.339,-4845.923,-4577.05,3876.7195,-314.40854,12715.626,1764.3282,-8642.431
2018-06-24,-11058.79,-5291.1533,-4992.618,4228.0317,-346.78778,13869.203,1924.3411,-9423.362
2018-06-25,-7616.4087,-3659.585,-3455.8672,2907.3044,-251.78316,9567.691,1334.5781,-6482.6943
2018-06-26,-9351.625,-4454.993,-4210.603,3575.9136,-281.15823,11711.709,1622.342,-7970.3027
2018-06-27,-10301.742,-4935.5796,-4664.4927,3932.5337,-331.1895,12928.541,1800.3375,-8770.485
2018-06-28,-11513.883,-5505.077,-5198.259,4400.484,-359.68604,14437.507,2004.0073,-9809.675
2018-06-29,-11110.657,-5324.701,-5025.2544,4247.305,-355.24158,13942.657,1938.5636,-9464.03
2018-06-30,-11603.058,-5544.5464,-5233.1665,4436.015,-359.1692,14545.628,2016.4117,-9888.423
2018-07-01,-9956.737,-4754.043,-4487.903,3807.756,-305.511,12478.266,1729.1559,-8486.179
2018-07-02,-7640.8774,-3683.432,-3477.2852,2914.1077,-261.5099,9609.801,1343.9164,-6500.066
2018-07-03,-8471.304,-4037.883,-3817.0317,3239.7097,-256.5121,10611.395,1471.3767,-7218.8906
2018-07-04,-8464.973,-4031.9155,-3811.0164,3236.145,-254.18864,10600.829,1468.2263,-7214.5645
2018-07-05,-10031.093,-4787.2134,-4525.6826,3834.2554,-308.43692,12571.04,1745.2153,-8545.751
2018-07-06,-10662.653,-5105.35,-4821.2666,4074.7522,-338.65414,13377.033,1859.9272,-9081.743
2018-07-07,-10829.855,-5184.294,-4894.0874,4138.1274,-342.66074,13585.471,1887.1345,-9225.61
2018-07-08,-9691.397,-4635.0664,-4377.6904,3701.9094,-304.35928,12154.057,1687.8215,-8255.623
2018-07-09,-7722.3335,-3699.6458,-3492.5405,2951.6548,-246.36565,9689.816,1347.3562,-6577.579
2018-07-10,-9896.901,-4743.0522,-4481.0815,3779.5718,-318.53247,12421.225,1729.5764,-8426.524
2018-07-11,-10292.675,-4910.5063,-4636.153,3937.1724,-312.95914,12895.6,1786.014,-8773.516
2018-07-12,-10149.645,-4838.313,-4567.916,3883.234,-305.55963,12712.59,1759.211,-8653.013
2018-07-13,-9042.753,-4320.611,-4083.5334,3455.4788,-281.59344,11337.079,1574.9761,-7702.7007
2018-07-14,-10713.371,-5104.36,-4819.8047,4098.183,-320.88995,13416.454,1855.891,-9133.917
2018-07-15,-10569.786,-5048.217,-4767.134,4040.4185,-326.14603,13248.556,1837.162,-9006.984
2018-07-16,-8759.383,-4200.1655,-3962.0425,3349.303,-281.01883,10993.633,1528.2772,-7461.864
2018-07-17,-10939.517,-5230.237,-4939.5107,4181.9375,-341.69016,13717.108,1904.6793,-9319.991
2018-07-18,-10715.905,-5119.1353,-4835.17,4097.9775,-331.588,13432.712,1864.2695,-9130.62
2018-07-19,-10441.545,-4982.999,-4706.623,3993.9924,-319.23944,13083.949,1814.0818,-8898.567
2018-07-20,-11629.528,-5546.505,-5236.0317,4449.4326,-351.9671,14568.593,2016.7858,-9914.132
2018-07-21,-11271.428,-5386.6064,-5085.173,4309.774,-349.56265,14130.54,1959.9545,-9604.972
2018-07-22,-11358.442,-5415.659,-5112.0396,4344.47,-342.64224,14227.659,1968.3665,-9683.704
