cluster,4_movements,counter
0,"[61, 71, 62, 42]",0.00012874983906270118
0,"[52, 58, 42, 59]",0.00012874983906270118
0,"[49, 201, 42, 59]",0.00012874983906270118
0,"[49, 49, 71, 201]",0.00012874983906270118
0,"[49, 201, 62, 42]",0.00012874983906270118
0,"[49, 75, 54, 59]",0.00012874983906270118
0,"[52, 75, 201, 58]",0.00012874983906270118
0,"[61, 201, 54, 202]",0.00012874983906270118
0,"[61, 75, 62, 63]",0.00012874983906270118
0,"[61, 201, 62, 59]",0.00012874983906270118
0,"[71, 201, 58, 42]",0.00012874983906270118
0,"[52, 76, 54, 59]",0.00012874983906270118
0,"[52, 58, 54, 42]",0.00012874983906270118
0,"[61, 75, 201, 58]",0.00012874983906270118
0,"[71, 75, 76, 201]",0.00012874983906270118
0,"[61, 71, 201, 63]",0.00012874983906270118
0,"[52, 62, 63, 54]",0.00012874983906270118
0,"[71, 75, 42, 59]",0.00012874983906270118
0,"[61, 71, 62, 202]",0.00012874983906270118
0,"[52, 62, 54, 59]",0.00012874983906270118
0,"[52, 63, 54, 42]",0.00012874983906270118
0,"[71, 63, 54, 202]",0.00012874983906270118
0,"[49, 62, 62, 54]",0.00012874983906270118
0,"[49, 49, 58, 54]",0.00012874983906270118
0,"[71, 52, 63, 42]",0.00012874983906270118
0,"[49, 52, 201, 42]",0.00012874983906270118
0,"[49, 62, 42, 59]",0.00012874983906270118
0,"[61, 52, 75, 54]",0.00012874983906270118
0,"[71, 62, 63, 59]",0.00012874983906270118
0,"[61, 76, 42, 59]",0.00012874983906270118
0,"[49, 49, 71, 75]",0.00012874983906270118
0,"[49, 71, 71, 58]",0.00012874983906270118
0,"[75, 63, 42, 59]",0.00012874983906270118
0,"[49, 52, 52, 63]",0.00012874983906270118
0,"[49, 201, 58, 54]",0.00012874983906270118
0,"[49, 76, 58, 59]",0.00012874983906270118
0,"[61, 75, 42, 202]",0.00012874983906270118
0,"[61, 52, 58, 59]",0.00012874983906270118
0,"[71, 58, 63, 59]",6.437491953135059e-05
0,"[61, 52, 58, 58]",6.437491953135059e-05
0,"[52, 75, 76, 42]",6.437491953135059e-05
0,"[61, 71, 201, 58]",6.437491953135059e-05
0,"[52, 54, 42, 202]",6.437491953135059e-05
0,"[61, 62, 54, 59]",6.437491953135059e-05
0,"[61, 201, 202, 59]",6.437491953135059e-05
0,"[61, 52, 62, 59]",6.437491953135059e-05
0,"[61, 61, 52, 42]",6.437491953135059e-05
0,"[49, 49, 201, 63]",6.437491953135059e-05
0,"[49, 49, 63, 42]",6.437491953135059e-05
0,"[61, 52, 76, 63]",6.437491953135059e-05
0,"[61, 76, 62, 202]",6.437491953135059e-05
0,"[71, 52, 54, 202]",6.437491953135059e-05
0,"[49, 61, 61, 62]",6.437491953135059e-05
0,"[49, 49, 61, 63]",6.437491953135059e-05
0,"[49, 49, 61, 76]",6.437491953135059e-05
0,"[61, 61, 61, 71]",6.437491953135059e-05
0,"[52, 75, 62, 54]",6.437491953135059e-05
0,"[61, 61, 71, 54]",6.437491953135059e-05
0,"[61, 75, 58, 59]",6.437491953135059e-05
0,"[49, 58, 54, 202]",6.437491953135059e-05
0,"[61, 58, 62, 59]",6.437491953135059e-05
0,"[61, 62, 54, 42]",6.437491953135059e-05
0,"[49, 52, 58, 42]",6.437491953135059e-05
0,"[61, 58, 54, 42]",6.437491953135059e-05
0,"[61, 52, 42, 202]",6.437491953135059e-05
0,"[61, 58, 42, 202]",6.437491953135059e-05
0,"[71, 52, 76, 54]",6.437491953135059e-05
0,"[49, 52, 76, 42]",6.437491953135059e-05
0,"[61, 52, 75, 42]",6.437491953135059e-05
0,"[71, 75, 58, 63]",6.437491953135059e-05
0,"[49, 76, 62, 54]",6.437491953135059e-05
0,"[49, 49, 58, 42]",6.437491953135059e-05
0,"[61, 58, 63, 42]",6.437491953135059e-05
0,"[61, 42, 202, 59]",6.437491953135059e-05
0,"[61, 61, 71, 76]",6.437491953135059e-05
0,"[49, 61, 61, 76]",6.437491953135059e-05
0,"[61, 75, 58, 63]",6.437491953135059e-05
0,"[71, 75, 58, 59]",6.437491953135059e-05
0,"[71, 201, 62, 54]",6.437491953135059e-05
0,"[49, 71, 201, 63]",6.437491953135059e-05
0,"[49, 71, 201, 58]",6.437491953135059e-05
0,"[49, 52, 58, 63]",6.437491953135059e-05
0,"[71, 52, 58, 63]",6.437491953135059e-05
0,"[52, 75, 58, 42]",6.437491953135059e-05
0,"[71, 62, 54, 202]",6.437491953135059e-05
0,"[61, 71, 71, 42]",6.437491953135059e-05
0,"[49, 61, 61, 63]",6.437491953135059e-05
0,"[61, 52, 75, 59]",6.437491953135059e-05
0,"[61, 52, 58, 63]",6.437491953135059e-05
0,"[61, 71, 58, 202]",6.437491953135059e-05
0,"[71, 71, 52, 62]",6.437491953135059e-05
