date,v0,v1,v2,v3
2018-09-23,-2245.3174,9197.934,-199.73991,-3251.3608
2018-09-24,-1572.151,6425.229,-138.99382,-2269.941
2018-09-25,-1972.4017,8072.694,-175.88092,-2850.3755
2018-09-26,-1752.483,7178.703,-156.12747,-2534.3877
2018-09-27,-1451.7782,5948.469,-131.06003,-2098.25
2018-09-28,-1389.8337,5694.303,-125.33874,-2008.5685
2018-09-29,-2055.9426,8435.074,-182.0282,-2979.4473
2018-09-30,-2062.032,8453.1875,-184.22891,-2989.0986
2018-10-01,-1442.2559,5894.629,-127.59249,-2082.396
2018-10-02,-1892.8262,7746.8877,-169.52751,-2733.825
2018-10-03,-1752.1877,7169.5195,-156.76161,-2530.4502
2018-10-04,-1740.3966,7117.11,-155.18387,-2512.9084
2018-10-05,-1723.8853,7071.6304,-155.28917,-2497.8474
2018-10-06,-2138.574,8772.079,-191.71692,-3103.87
2018-10-07,-1138.0594,4658.756,-102.95915,-1643.2635
2018-10-08,-1017.2249,4158.917,-90.43043,-1468.7319
2018-10-09,-1822.1693,7463.537,-162.55415,-2634.0732
2018-10-10,-1893.9575,7756.0635,-169.99748,-2737.2617
2018-10-11,-1913.7472,7834.37,-171.12299,-2765.7039
2018-10-12,-2001.4153,8198.41,-178.92293,-2896.307
2018-10-13,-1978.11,8122.09,-175.39038,-2869.0605
2018-10-14,-2135.4197,8758.107,-187.92235,-3094.304
2018-10-15,-1300.2578,5317.975,-116.16997,-1877.4131
2018-10-16,-1864.2941,7636.136,-166.45686,-2695.646
2018-10-17,-1848.2,7563.6177,-165.77472,-2669.0955
2018-10-18,-1939.3945,7944.5,-173.25107,-2804.0361
2018-10-19,-1636.3981,6701.59,-146.76006,-2365.4944
2018-10-20,-2235.3486,9184.588,-197.46257,-3248.5376
2018-10-21,-2121.4822,8686.569,-188.19125,-3068.7822
2018-10-22,-1413.9269,5779.882,-125.40477,-2041.5039
2018-10-23,-1878.9279,7692.821,-167.89398,-2716.8342
2018-10-24,-1802.8284,7385.6606,-161.77806,-2609.095
2018-10-25,-1808.4283,7406.741,-161.7478,-2613.1233
